HTNO,SUBJECT_CODE,SUBJECT_NAME,INTERNALMARKS,EXTERNALMARKS,TOTALMARKS,GRADE,GRADE_POINTS,CREDITS
22Q61A0505,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,23,26,49,C,5,3
22Q61A0505,181AJ,ENGINEERING CHEMISTRY,25,3,28,F,0,0
22Q61A0508,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,31,8,39,F,0,0
22Q61A0508,181AJ,ENGINEERING CHEMISTRY,24,3,27,F,0,0
22Q61A0520,181AJ,ENGINEERING CHEMISTRY,25,3,28,F,0,0
22Q61A0525,181AJ,ENGINEERING CHEMISTRY,29,11,40,F,0,0
22Q61A0528,181AJ,ENGINEERING CHEMISTRY,32,11,43,F,0,0
22Q61A0546,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,30,21,51,B,6,3
22Q61A0554,181AN,MATRICES AND CALCULUS,21,6,27,F,0,0
22Q61A0557,181AN,MATRICES AND CALCULUS,21,-1,21,Ab,0,0
22Q61A0564,181AJ,ENGINEERING CHEMISTRY,35,5,40,F,0,0
22Q61A0585,181AN,MATRICES AND CALCULUS,23,4,27,F,0,0
22Q61A0593,181AN,MATRICES AND CALCULUS,26,-1,26,Ab,0,0
22Q61A0599,181AN,MATRICES AND CALCULUS,30,4,34,F,0,0
22Q61A05B2,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,31,21,52,B,6,3
22Q61A05B8,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,39,11,50,F,0,0
22Q61A05B8,181AJ,ENGINEERING CHEMISTRY,22,3,25,F,0,0
22Q61A05B8,181AN,MATRICES AND CALCULUS,23,3,26,F,0,0
22Q61A05B9,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,30,21,51,B,6,3
22Q61A05C4,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,40,23,63,B+,7,3
22Q61A05C4,181AN,MATRICES AND CALCULUS,26,6,32,F,0,0
22Q61A05C6,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,25,21,46,C,5,3
22Q61A05C6,181AN,MATRICES AND CALCULUS,25,3,28,F,0,0
22Q61A05C8,181AN,MATRICES AND CALCULUS,23,3,26,F,0,0
22Q61A05C8,181AP,PROGRAMMING FOR PROBLEM SOLVING,31,21,52,B,6,3
22Q61A05F4,181AN,MATRICES AND CALCULUS,25,3,28,F,0,0
22Q61A05I1,181AN,MATRICES AND CALCULUS,26,6,32,F,0,0
22Q61A05I2,181AN,MATRICES AND CALCULUS,26,3,29,F,0,0
22Q61A05I3,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,28,26,54,B,6,3
22Q61A05I5,181AJ,ENGINEERING CHEMISTRY,25,6,31,F,0,0
22Q61A05I5,181AN,MATRICES AND CALCULUS,24,4,28,F,0,0
22Q61A05I6,181AJ,ENGINEERING CHEMISTRY,29,23,52,B,6,4
22Q61A05I9,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,25,21,46,C,5,3
22Q61A05I9,181AN,MATRICES AND CALCULUS,23,3,26,F,0,0
23Q61A0502,18102,BASIC ELECTRICAL ENGINEERING LABORATORY,39,56,95,O,10,1
23Q61A0502,18107,ELEMENTS OF COMPUTER SCIENCE & ENGINEERING,47,0,47,O,10,1
23Q61A0502,18113,ENGINEERING CHEMISTRY LABORATORY,38,56,94,O,10,1
23Q61A0502,18117,PROGRAMMING FOR PROBLEM SOLVING LABORATORY,38,54,92,O,10,1
23Q61A0502,181AB,BASIC ELECTRICAL ENGINEERING,35,21,56,B,6,2
23Q61A0502,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,36,21,57,B,6,3
23Q61A0502,181AJ,ENGINEERING CHEMISTRY,25,21,46,C,5,4
23Q61A0502,181AN,MATRICES AND CALCULUS,36,28,64,B+,7,4
23Q61A0502,181AP,PROGRAMMING FOR PROBLEM SOLVING,30,25,55,B,6,3
23Q61A0505,181AN,MATRICES AND CALCULUS,33,-1,33,Ab,0,0
23Q61A0508,181AB,BASIC ELECTRICAL ENGINEERING,16,4,20,F,0,0
23Q61A0508,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,24,-1,24,Ab,0,0
23Q61A0508,181AN,MATRICES AND CALCULUS,19,0,19,F,0,0
23Q61A0508,181AP,PROGRAMMING FOR PROBLEM SOLVING,19,3,22,F,0,0
23Q61A0510,181AB,BASIC ELECTRICAL ENGINEERING,26,3,29,F,0,0
23Q61A0510,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,3,40,F,0,0
23Q61A0510,181AN,MATRICES AND CALCULUS,28,3,31,F,0,0
23Q61A0511,181AB,BASIC ELECTRICAL ENGINEERING,27,24,51,B,6,2
23Q61A0511,181AN,MATRICES AND CALCULUS,31,8,39,F,0,0
23Q61A0511,181AP,PROGRAMMING FOR PROBLEM SOLVING,35,21,56,B,6,3
23Q61A0512,181AB,BASIC ELECTRICAL ENGINEERING,33,6,39,F,0,0
23Q61A0514,181AN,MATRICES AND CALCULUS,29,-1,29,Ab,0,0
23Q61A0525,181AN,MATRICES AND CALCULUS,30,7,37,F,0,0
23Q61A0527,181AN,MATRICES AND CALCULUS,31,11,42,F,0,0
23Q61A0527,181AP,PROGRAMMING FOR PROBLEM SOLVING,26,21,47,C,5,3
23Q61A0528,181AB,BASIC ELECTRICAL ENGINEERING,24,-1,24,Ab,0,0
23Q61A0528,181AN,MATRICES AND CALCULUS,31,5,36,F,0,0
23Q61A0529,181AN,MATRICES AND CALCULUS,38,8,46,F,0,0
23Q61A0533,181AB,BASIC ELECTRICAL ENGINEERING,31,10,41,F,0,0
23Q61A0536,181AB,BASIC ELECTRICAL ENGINEERING,29,4,33,F,0,0
23Q61A0536,181AN,MATRICES AND CALCULUS,32,11,43,F,0,0
23Q61A0537,181AB,BASIC ELECTRICAL ENGINEERING,24,3,27,F,0,0
23Q61A0537,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,4,42,F,0,0
23Q61A0537,181AN,MATRICES AND CALCULUS,30,3,33,F,0,0
23Q61A0540,181AN,MATRICES AND CALCULUS,33,3,36,F,0,0
23Q61A0541,181AB,BASIC ELECTRICAL ENGINEERING,24,4,28,F,0,0
23Q61A0541,181AJ,ENGINEERING CHEMISTRY,30,4,34,F,0,0
23Q61A0541,181AN,MATRICES AND CALCULUS,31,4,35,F,0,0
23Q61A0544,181AB,BASIC ELECTRICAL ENGINEERING,28,9,37,F,0,0
23Q61A0544,181AP,PROGRAMMING FOR PROBLEM SOLVING,36,7,43,F,0,0
23Q61A0545,181AN,MATRICES AND CALCULUS,39,6,45,F,0,0
23Q61A0546,181AB,BASIC ELECTRICAL ENGINEERING,28,21,49,C,5,2
23Q61A0549,181AB,BASIC ELECTRICAL ENGINEERING,25,4,29,F,0,0
23Q61A0549,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,4,42,F,0,0
23Q61A0549,181AN,MATRICES AND CALCULUS,28,5,33,F,0,0
23Q61A0552,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,6,43,F,0,0
23Q61A0553,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,36,10,46,F,0,0
23Q61A0553,181AN,MATRICES AND CALCULUS,26,4,30,F,0,0
23Q61A0553,181AP,PROGRAMMING FOR PROBLEM SOLVING,28,5,33,F,0,0
23Q61A0554,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,38,12,50,F,0,0
23Q61A0554,181AN,MATRICES AND CALCULUS,28,3,31,F,0,0
23Q61A0555,181AB,BASIC ELECTRICAL ENGINEERING,25,3,28,F,0,0
23Q61A0555,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,11,48,F,0,0
23Q61A0555,181AN,MATRICES AND CALCULUS,27,3,30,F,0,0
23Q61A0558,181AN,MATRICES AND CALCULUS,37,21,58,B,6,4
23Q61A0560,181AB,BASIC ELECTRICAL ENGINEERING,27,6,33,F,0,0
23Q61A0560,181AN,MATRICES AND CALCULUS,34,6,40,F,0,0
23Q61A0561,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,8,45,F,0,0
23Q61A0561,181AN,MATRICES AND CALCULUS,34,10,44,F,0,0
23Q61A0562,181AB,BASIC ELECTRICAL ENGINEERING,30,12,42,F,0,0
23Q61A0562,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,8,45,F,0,0
23Q61A0562,181AP,PROGRAMMING FOR PROBLEM SOLVING,33,21,54,B,6,3
23Q61A0563,181AB,BASIC ELECTRICAL ENGINEERING,26,3,29,F,0,0
23Q61A0563,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,36,-1,36,Ab,0,0
23Q61A0563,181AN,MATRICES AND CALCULUS,31,6,37,F,0,0
23Q61A0563,181AP,PROGRAMMING FOR PROBLEM SOLVING,31,8,39,F,0,0
23Q61A0565,181AN,MATRICES AND CALCULUS,28,0,28,F,0,0
23Q61A0566,181AB,BASIC ELECTRICAL ENGINEERING,26,8,34,F,0,0
23Q61A0566,181AG,COMPUTER AIDED ENGINEERING GRAPHICS,37,8,45,F,0,0
23Q61A0566,181AN,MATRICES AND CALCULUS,32,12,44,F,0,0
23Q61A0568,181AB,BASIC ELECTRICAL ENGINEERING,29,3,32,F,0,0
23Q61A0568,181AJ,ENGINEERING CHEMISTRY,27,4,31,F,0,0
23Q61A0568,181AN,MATRICES AND CALCULUS,31,3,34,F,0,0
23Q61A0571,181AN,MATRICES AND CALCULUS,33,4,37,F,0,0
23Q61A0574,181AN,MATRICES AND CALCULUS,33,9,42,F,0,0
